timestamp,hourly_energy_kwh,estimated_avg_power_kw
2023-01-08 07:00:00,0.0,0.0
2023-01-08 08:00:00,0.021100259619456184,0.021100259619456184
2023-01-08 09:00:00,0.10214016403890423,0.10214016403890423
2023-01-08 10:00:00,0.17404455674224142,0.17404455674224142
2023-01-08 11:00:00,0.22273236938201607,0.22273236938201607
2023-01-08 12:00:00,0.24346232780143304,0.24346232780143304
2023-01-08 13:00:00,0.23450551401187966,0.23450551401187966
2023-01-08 14:00:00,0.19659590992519155,0.19659590992519155
2023-01-08 15:00:00,0.13311017717095874,0.13311017717095874
2023-01-08 16:00:00,0.05230872130791907,0.05230872130791907
2023-01-08 17:00:00,0.0,0.0
2023-01-08 18:00:00,0.0,0.0
2023-01-08 19:00:00,0.0,0.0
2023-01-08 20:00:00,0.0,0.0
2023-01-08 21:00:00,0.0,0.0
2023-01-08 22:00:00,0.0,0.0
2023-01-08 23:00:00,0.0,0.0
2023-01-09 00:00:00,0.0,0.0
2023-01-09 01:00:00,0.0,0.0
2023-01-09 02:00:00,0.0,0.0
2023-01-09 03:00:00,0.0,0.0
2023-01-09 04:00:00,0.0,0.0
2023-01-09 05:00:00,0.0,0.0
2023-01-09 06:00:00,0.0,0.0
2023-01-09 07:00:00,0.0,0.0
2023-01-09 08:00:00,0.029666311832702307,0.029666311832702307
2023-01-09 09:00:00,0.14269987502689208,0.14269987502689208
2023-01-09 10:00:00,0.2429758809170857,0.2429758809170857
2023-01-09 11:00:00,0.31097966309366,0.31097966309366
2023-01-09 12:00:00,0.3401077495823807,0.3401077495823807
2023-01-09 13:00:00,0.3279356268646677,0.3279356268646677
2023-01-09 14:00:00,0.27545846193705226,0.27545846193705226
2023-01-09 15:00:00,0.1873291196999513,0.1873291196999513
2023-01-09 16:00:00,0.07484731104560799,0.07484731104560799
2023-01-09 17:00:00,0.0,0.0
2023-01-09 18:00:00,0.0,0.0
2023-01-09 19:00:00,0.0,0.0
2023-01-09 20:00:00,0.0,0.0
2023-01-09 21:00:00,0.0,0.0
2023-01-09 22:00:00,0.0,0.0
2023-01-09 23:00:00,0.0,0.0
2023-01-10 00:00:00,0.0,0.0
2023-01-10 01:00:00,0.0,0.0
2023-01-10 02:00:00,0.0,0.0
2023-01-10 03:00:00,0.0,0.0
2023-01-10 04:00:00,0.0,0.0
2023-01-10 05:00:00,0.0,0.0
2023-01-10 06:00:00,0.0,0.0
2023-01-10 07:00:00,0.0,0.0
2023-01-10 08:00:00,0.030216157060507808,0.030216157060507808
2023-01-10 09:00:00,0.14421545158003532,0.14421545158003532
2023-01-10 10:00:00,0.24531327030549316,0.24531327030549316
2023-01-10 11:00:00,0.3139759180010923,0.3139759180010923
2023-01-10 12:00:00,0.34355655322478906,0.34355655322478906
2023-01-10 13:00:00,0.33159813243648095,0.33159813243648095
2023-01-10 14:00:00,0.2790760439095323,0.2790760439095323
2023-01-10 15:00:00,0.19062568117266346,0.19062568117266346
2023-01-10 16:00:00,0.07742279230940557,0.07742279230940557
2023-01-10 17:00:00,0.0,0.0
2023-01-10 18:00:00,0.0,0.0
2023-01-10 19:00:00,0.0,0.0
2023-01-10 20:00:00,0.0,0.0
2023-01-10 21:00:00,0.0,0.0
2023-01-10 22:00:00,0.0,0.0
2023-01-10 23:00:00,0.0,0.0
2023-01-11 00:00:00,0.0,0.0
2023-01-11 01:00:00,0.0,0.0
2023-01-11 02:00:00,0.0,0.0
2023-01-11 03:00:00,0.0,0.0
2023-01-11 04:00:00,0.0,0.0
2023-01-11 05:00:00,0.0,0.0
2023-01-11 06:00:00,0.0,0.0
2023-01-11 07:00:00,0.0,0.0
2023-01-11 08:00:00,0.02895631079052797,0.02895631079052797
2023-01-11 09:00:00,0.13693347445926476,0.13693347445926476
2023-01-11 10:00:00,0.23263996903786077,0.23263996903786077
2023-01-11 11:00:00,0.2977329922724829,0.2977329922724829
2023-01-11 12:00:00,0.3259322511767021,0.3259322511767021
2023-01-11 13:00:00,0.3149005550103449,0.3149005550103449
2023-01-11 14:00:00,0.26553553691551357,0.26553553691551357
2023-01-11 15:00:00,0.1821737569756816,0.1821737569756816
2023-01-11 16:00:00,0.0751951533616215,0.0751951533616215
2023-01-11 17:00:00,0.0,0.0
2023-01-11 18:00:00,0.0,0.0
2023-01-11 19:00:00,0.0,0.0
2023-01-11 20:00:00,0.0,0.0
2023-01-11 21:00:00,0.0,0.0
2023-01-11 22:00:00,0.0,0.0
2023-01-11 23:00:00,0.0,0.0
2023-01-12 00:00:00,0.0,0.0
2023-01-12 01:00:00,0.0,0.0
2023-01-12 02:00:00,0.0,0.0
2023-01-12 03:00:00,0.0,0.0
2023-01-12 04:00:00,0.0,0.0
2023-01-12 05:00:00,0.0,0.0
2023-01-12 06:00:00,0.0,0.0
2023-01-12 07:00:00,0.0,0.0
2023-01-12 08:00:00,0.023383044508675833,0.023383044508675833
2023-01-12 09:00:00,0.10941223366111191,0.10941223366111191
2023-01-12 10:00:00,0.18561108387441233,0.18561108387441233
2023-01-12 11:00:00,0.23750630417108018,0.23750630417108018
2023-01-12 12:00:00,0.2601087836790168,0.2601087836790168
